d_model,nhead,num_layers,lr,dropout,val_mae
128,4,4,0.001,0.2,3.83958982245355
256,4,2,0.001,0.1,3.840936368860322
256,8,2,0.001,0.1,3.842381225660289
64,8,2,0.001,0.1,3.8518843779795304
128,8,2,0.001,0.1,3.852480421013176
64,8,3,0.001,0.1,3.863896419438656
128,8,2,0.001,0.2,3.8672079029022557
256,8,3,0.001,0.2,3.8833939947585026
128,4,2,0.001,0.1,3.8835661022456374
128,8,4,0.001,0.2,3.8840447329488557
256,8,2,0.001,0.2,3.884374753008215
64,4,3,0.001,0.2,3.8909620730385672
256,4,3,0.001,0.2,3.895115105045534
256,8,4,0.001,0.1,3.895610098243234
128,4,3,0.001,0.2,3.8963168300895723
256,8,3,0.001,0.1,3.898742994621052
64,8,4,0.001,0.1,3.8991991934931836
64,4,4,0.001,0.1,3.900200248238769
64,8,4,0.001,0.2,3.907836250397736
64,8,2,0.001,0.2,3.9084182278732507
128,8,3,0.001,0.2,3.9145262011859563
256,4,2,0.001,0.2,3.915812794708883
64,4,2,0.001,0.1,3.918406121770636
64,4,2,0.001,0.2,3.918442754586158
256,8,4,0.001,0.2,3.9217560520794246
128,4,3,0.001,0.1,3.9251227014673638
128,8,3,0.001,0.1,3.9278757158687596
128,8,4,0.001,0.1,3.9282505536895
128,4,2,0.001,0.2,3.9519660895839985
128,4,4,0.001,0.1,3.9567686248223937
256,4,4,0.001,0.2,3.9607265943938432
256,4,4,0.001,0.1,3.963749999931718
64,4,3,0.001,0.1,3.964666818377511
64,4,4,0.001,0.2,3.964694528230714
64,8,3,0.001,0.2,3.9656245578539777
64,8,2,0.01,0.1,3.9779197287730215
256,4,3,0.001,0.1,3.983386836928229
64,4,2,0.01,0.1,4.017478936611894
64,4,2,0.01,0.2,4.058126375233264
64,8,2,0.01,0.2,4.0685073566891985
256,4,2,0.01,0.2,4.142998590863879
128,8,2,0.01,0.1,4.189747287056801
64,4,3,0.01,0.1,4.381993181475971
128,8,2,0.01,0.2,4.495267112385971
256,8,2,0.01,0.2,4.729258287683212
256,8,2,0.01,0.1,4.889030826404726
128,4,2,0.01,0.2,5.166264384913843
256,4,2,0.01,0.1,5.25716875674901
128,4,2,0.01,0.1,5.447495313703587
64,8,3,0.01,0.2,6.4641331262596085
64,4,4,0.01,0.2,7.009282256272831
64,4,3,0.01,0.2,7.021700514719044
256,8,4,0.01,0.2,7.114219669320797
256,8,3,0.01,0.2,7.182331012370763
64,4,4,0.01,0.1,7.18389531061966
128,8,4,0.01,0.2,7.184322673551792
128,8,3,0.01,0.1,7.184401360407839
256,8,4,0.01,0.1,7.184506533917872
256,4,4,0.01,0.1,7.184834089559891
128,8,3,0.01,0.2,7.185971115919552
256,4,3,0.01,0.2,7.186828350774238
128,4,4,0.01,0.2,7.186923198502692
64,8,3,0.01,0.1,7.1882869315318105
64,8,4,0.01,0.2,7.188455505795961
256,4,4,0.01,0.2,7.190692051118958
128,4,3,0.01,0.2,7.199009137392613
256,4,3,0.01,0.1,7.202174487906785
256,8,3,0.01,0.1,7.2034362794486135
128,4,4,0.01,0.1,7.204106758773184
64,8,4,0.01,0.1,7.208726791132985
128,4,3,0.01,0.1,7.212152159394209
128,8,4,0.01,0.1,7.250400130485104
